circle,monument,domestic_2019,foreign_2019,domestic_2020,foreign_2020,%_growth_2021-21/2019-20-domestic,%_growth_2021-21/2019-20-foreign,total_visitors_2019,total_visitors_2020,total_visitors,crowd_index,crowd_level
Agra,Taj Mahal,4429710,645415,1259892,9034,-71.56,-98.6,5075125,1268926,5075125,0.10946348125069397,High
Agra,Agra Fort,1627154,386522,371242,2810,-77.18,-99.27,2013676,374052,2013676,0.04343222779162532,High
Agra,Fatehpur Sikri,454376,184751,107835,574,-76.27,-99.69,639127,108409,639127,0.013785092264981116,Medium
Agra,Akbar Tomb Sikandra,229270,19625,99509,321,-56.6,-98.36,248895,99830,248895,0.0053683235715162635,Low
Agra,Mariam tomb Sikandra,22517,414,9765,31,-56.63,-92.51,22931,9796,22931,0.0004945901999575702,Low
Agra,Itimad-ud-Daulah-Tomb,132800,82692,41016,410,-69.11,-99.5,215492,41426,215492,0.004647866703120523,Low
Agra,Ram Bagh,84051,355,18599,54,-77.87,-84.79,84406,18653,84406,0.0018205215829060516,Low
Agra,Mehtab Bagh,178574,62325,62652,544,-64.92,-99.13,240899,63196,240899,0.005195860825065575,Low
Agra,Mausoleum,474462,12536,91185,321,-80.78,-97.44,486998,91506,486998,0.01050387851375591,Low
Total,Total,7632914,1394635,2061695,14099,-72.99,-98.99,9027549,2075794,9027549,0.1947118427036223,High
Lucknow,Site of Sahet mahet,74597,13628,27201,35,-63.54,-99.74,88225,27236,88225,0.0019028921717873896,Low
Lucknow,Residency Building,116348,3367,57194,37,-50.84,-98.9,119715,57231,119715,0.0025820882555457904,Low
Lucknow,Piprahwa & Ganwaria,38342,3098,12062,3,-68.54,-99.9,41440,12065,41440,0.0008938039285788543,Low
Total,Total,229287,20093,96457,75,-57.93,-99.63,249380,96532,249380,0.005378784355912034,Low
Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0,-30.93,-100.0,1380,931,1380,2.9764706115801618e-05,Low
Jhansi,Kalinjar Fort,81507,137,80291,27,-1.49,-80.29,81644,80318,81644,0.001760949033419208,Low
Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5,-64.2,-90.0,16004,5717,16004,0.00034518431643281816,Low
Jhansi,Rani Jhansi Fort,361294,705,174622,107,-51.67,-84.82,361999,174729,361999,0.007807821629865268,Low
Total,Total,460103,924,261556,139,-43.15,-84.96,461027,261695,461027,0.009943719685833095,Low
Sarnath,Lord Cornwallis Tomb,18318,85,5289,9,-71.13,-89.41,18403,5298,18403,0.00039692745409354867,Low
Sarnath,"Old Fort (Shahi Fort), Jaunpur",198922,114,67163,127,-66.24,11.4,199036,67290,199036,0.004292933367003399,Low
Sarnath,Observatory of Man Singh,83059,954,21379,11,-74.26,-98.85,84013,21390,84013,0.0018120451122513343,Low
Sarnath,Excavated Remains at sarnath,485309,100590,170590,384,-64.85,-99.62,585899,170974,585899,0.01263703735401598,Medium
Sarnath,Tomb of Lal Khan,6819,9,1972,2,-71.08,-77.78,6828,1974,6828,0.00014727058939035756,Low
Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46,-72.88,-99.11,60330,15002,60330,0.001301235304323414,Low
Total,Total,847571,106938,281349,579,-66.81,-99.46,954509,281928,954509,0.020587449181078032,Medium
Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",334846,728,115333,242,-65.56,-66.76,335574,115575,335574,0.007237870645002907,Low
Thrissur,mattancherry Palace Museum Kochi,300465,79355,23026,177,-92.34,-99.78,379820,23203,379820,0.008192196142683891,Low
Thrissur,"Fort, Palakkad, Palakkad",174589,241,43927,26,-74.84,-89.21,174830,43953,174830,0.0037708431668301424,Low
Thrissur,"Fort St. Angelo, Kannur",234518,3305,65683,115,-71.99,-96.52,237823,65798,237823,0.005129515726506006,Low
Total,Total,1044418,83629,247969,560,-76.26,-99.33,1128047,248529,1128047,0.024330425681022946,Medium
Chennai,Group of Monuments Mamallapuram,1260358,53422,808145,29145,-35.88,-45.44,1313780,837290,1313780,0.02833643159479554,Medium
Chennai,"Gingee Fort , Gingee",107073,1736,125109,2272,16.84,30.88,108809,127381,108809,0.002346860802720477,Low
Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733,1063,58206,868,33.09,-18.34,44796,59074,44796,0.0009661882428720647,Low
Total,Total,1411164,56221,991460,32285,-29.74,-42.57,1467385,1023745,1467385,0.031649480640388084,Medium
Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99,3.84,5.32,24751,25702,24751,0.0005338451022262361,Low
Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9,-92.28,-80.43,19160,1485,19160,0.00041325490520199924,Low
Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",31876,188,41791,235,31.1,25.0,32064,42026,32064,0.0006915764760123646,Low
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3,-99.28,-99.35,30506,220,30506,0.000657972554180177,Low
Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19,-89.59,-97.05,24573,2509,24573,0.0005300058865098501,Low
Tiruchirappalli,"Fort Museum, Thirumayam",294829,5259,41487,1555,-85.93,-70.43,300088,43042,300088,0.006472486325274402,Low
Tiruchirappalli,Fort Vattakottai,159492,340,5058,36,-96.83,-89.41,159832,5094,159832,0.003447356889783191,Low
Total,Total,583942,7032,118122,1956,-79.77,-72.18,590974,120078,590974,0.01274649813918822,Medium
Bhopal,Buddhist Caves,19920,42,23692,0,18.94,-100.0,19962,23692,19962,0.00043055294455335644,Low
Bhopal,"The palace situated in the fort, Burhanpur",47305,272,13926,27,-70.56,-90.07,47577,13953,47577,0.001026170596283691,Low
Bhopal,Hoshang Shah's Tomb,130094,2017,57769,39,-55.59,-98.07,132111,57808,132111,0.0028494529635251214,Low
Bhopal,"Group of monument, Royal Palace Mandu",408302,2427,181868,128,-55.46,-94.73,410729,181996,410729,0.008858860853794987,Low
Bhopal,Roopmati's Pavilion,392485,1884,148680,91,-62.12,-95.17,394369,148771,394369,0.008505998105929396,Low
Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41,-76.47,-98.97,254692,59020,254692,0.005493356905830251,Low
Bhopal,Gwalior Fort,255734,7744,101464,130,-60.32,-98.32,263478,101594,263478,0.005682858868100854,Low
Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",32578,4,12303,13,-62.24,225.0,32582,12316,32582,0.0007027490251196002,Low
Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5,-29.32,-94.38,13797,9694,13797,0.0002975823552751557,Low
Bhopal,Caves 1 t0 20 Udaygiri Vidisha,53546,741,11601,10,-78.33,-98.65,54287,11611,54287,0.0011708960876148714,Low
